ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
9,Sun Jul 26 21:19:39 ADT 2026,Sun Jul 26 21:19:39 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/8099527959260176786,401,Unauthorized,386,1157,95
11,Sun Jul 26 21:19:39 ADT 2026,Sun Jul 26 21:19:39 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/WEB-INF/web.xml,404,Not Found,164,1154,59
12,Sun Jul 26 21:19:39 ADT 2026,Sun Jul 26 21:19:39 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/WEB-INF/applicationContext.xml,404,Not Found,179,1154,59
13,Sun Jul 26 21:19:39 ADT 2026,Sun Jul 26 21:19:40 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17?-s,401,Unauthorized,167,1157,95
14,Sun Jul 26 21:19:40 ADT 2026,Sun Jul 26 21:19:40 ADT 2026,POST,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,403,Forbidden,143,429,221307
15,Sun Jul 26 21:19:40 ADT 2026,Sun Jul 26 21:19:40 ADT 2026,POST,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,403,Forbidden,44,429,221307
16,Sun Jul 26 21:19:40 ADT 2026,Sun Jul 26 21:19:41 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17,200,OK,905,1192,295
17,Sun Jul 26 21:19:43 ADT 2026,Sun Jul 26 21:19:43 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17,401,Unauthorized,162,1157,95
18,Sun Jul 26 21:19:43 ADT 2026,Sun Jul 26 21:19:43 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/favicon.ico,404,Not Found,160,1154,59
19,Sun Jul 26 21:19:44 ADT 2026,Sun Jul 26 21:19:44 ADT 2026,GET,https://rapid-rubric-api-assignment2-csci4177.onrender.com/api/v1/submissions/580406da-ed72-4974-bc01-fa2699dcde17?name=abc,401,Unauthorized,152,1157,95
